customer_id,age,gender,income_level,education,location,shopping_frequency,preferred_platform,avg_spending,payment_method,product_category,satisfaction_score,recommendation_likelihood,last_purchase_days
1,28,Female,Medium,Bachelor,Bangkok,Weekly,Shopee,2500,Credit Card,Fashion,4.2,8,5
2,34,Male,High,Master,Chiang Mai,Monthly,Lazada,5800,Bank Transfer,Electronics,3.8,7,12
3,22,Female,Low,High School,Nonthaburi,Daily,Facebook Shop,800,E-Wallet,Beauty,4.5,9,2
4,45,Male,High,Bachelor,Phuket,Weekly,Shopee,3200,Credit Card,Home & Garden,4.0,8,8
5,31,Female,Medium,Master,Bangkok,Bi-weekly,Amazon,4100,Credit Card,Books,4.3,9,4
6,26,Male,Low,Bachelor,Chon Buri,Weekly,Lazada,1800,E-Wallet,Sports,3.9,7,6
7,38,Female,High,Master,Bangkok,Monthly,JD Central,6200,Bank Transfer,Electronics,4.1,8,15
8,29,Male,Medium,Bachelor,Khon Kaen,Weekly,Shopee,2800,E-Wallet,Fashion,4.4,9,3
9,33,Female,Medium,Bachelor,Rayong,Bi-weekly,Lazada,3500,Credit Card,Health,4.0,8,7
10,27,Male,High,Master,Bangkok,Daily,Shopee,1200,E-Wallet,Food,4.6,10,1
11,41,Female,Medium,Bachelor,Nakhon Ratchasima,Monthly,Facebook Shop,2900,Bank Transfer,Home & Garden,3.7,6,18
12,25,Male,Low,High School,Samut Prakan,Weekly,Lazada,1500,E-Wallet,Gaming,4.2,8,9
13,36,Female,High,Master,Bangkok,Bi-weekly,Amazon,4800,Credit Card,Books,4.4,9,5
14,30,Male,Medium,Bachelor,Pattaya,Weekly,Shopee,3100,E-Wallet,Sports,4.1,8,4
15,23,Female,Low,Bachelor,Udon Thani,Daily,Facebook Shop,900,E-Wallet,Beauty,4.3,9,2
16,44,Male,High,Master,Chiang Mai,Monthly,JD Central,7200,Credit Card,Electronics,3.9,7,20
17,32,Female,Medium,Bachelor,Bangkok,Weekly,Shopee,2700,Bank Transfer,Fashion,4.5,9,6
18,28,Male,Low,Bachelor,Songkhla,Bi-weekly,Lazada,2200,E-Wallet,Health,4.0,8,11
19,35,Female,High,Master,Bangkok,Weekly,Amazon,5100,Credit Card,Home & Garden,4.2,8,8
20,24,Male,Medium,High School,Nonthaburi,Daily,Shopee,1100,E-Wallet,Food,4.4,9,3
